House_ID,Area,Bedrooms,Bathrooms,Floors,Age,Parking,Location,Furnished,Price
1,1002,2,2,2,25,0,Solapur,Unfurnished,86.37
2,1013,3,2,1,26,1,Aurangabad,Unfurnished,112.5
3,585,2,2,2,4,1,Beed,Unfurnished,69.91
4,1676,3,3,2,7,0,Aurangabad,Furnished,150.27
5,629,1,1,1,17,3,Pune,Unfurnished,137.27
6,537,2,2,2,12,0,Pune,Furnished,160.88
7,546,1,1,1,7,2,Sangli,Semi-Furnished,70.28
8,1744,3,3,2,26,1,Solapur,Furnished,144.75
9,1233,3,2,2,9,1,Solapur,Furnished,121.1
10,1440,3,2,1,26,3,Solapur,Unfurnished,114.13
11,1293,3,3,3,6,1,Nagpur,Semi-Furnished,128.15
12,1022,1,1,1,14,0,Nanded,Unfurnished,79.19
13,1241,1,1,1,16,0,Latur,Furnished,109.26
14,608,1,1,1,3,0,Latur,Semi-Furnished,59.73
15,1882,4,3,1,0,0,Aurangabad,Semi-Furnished,171.43
16,942,1,1,1,0,1,Amravati,Furnished,109.96
17,1616,2,2,2,27,0,Pune,Furnished,210.28
18,1331,3,3,3,23,3,Satara,Semi-Furnished,138.47
19,1328,2,2,2,8,0,Pune,Unfurnished,195.46
20,919,2,1,1,22,0,Nashik,Semi-Furnished,133.57
21,1794,4,3,2,0,0,Sangli,Semi-Furnished,142.41
22,1467,2,2,2,4,3,Jalgaon,Unfurnished,129.15
23,1346,2,2,2,7,0,Nashik,Unfurnished,138.81
24,787,2,2,1,28,0,Amravati,Semi-Furnished,78.32
25,1481,5,5,2,13,2,Jalgaon,Semi-Furnished,132.6
26,1009,2,1,1,10,0,Beed,Semi-Furnished,92.69
27,1794,3,2,2,2,3,Aurangabad,Semi-Furnished,175.01
28,1198,3,2,3,14,0,Aurangabad,Semi-Furnished,123.99
29,1371,4,4,2,28,1,Aurangabad,Semi-Furnished,131.9
30,2092,4,3,2,4,1,Amravati,Semi-Furnished,160.06
31,1250,3,2,2,15,0,Amravati,Semi-Furnished,102.67
32,1547,2,2,3,11,2,Pune,Unfurnished,195.06
33,1299,2,1,2,28,1,Pune,Furnished,186.94
34,1903,3,3,2,4,3,Ahmednagar,Semi-Furnished,169.5
35,559,1,1,2,2,0,Latur,Furnished,83.6
36,1110,2,2,2,19,1,Mumbai,Semi-Furnished,249.72
37,1095,2,2,4,13,1,Nanded,Furnished,110.71
38,996,2,1,1,8,2,Jalgaon,Unfurnished,104.94
39,1107,2,2,2,3,1,Mumbai,Furnished,262.27
40,1247,3,3,3,6,3,Jalgaon,Unfurnished,134.28
41,450,1,1,3,27,0,Kolhapur,Semi-Furnished,81.55
42,1681,4,4,4,15,2,Beed,Unfurnished,120.98
43,909,1,1,1,26,2,Amravati,Furnished,81.8
44,2074,4,3,2,21,2,Sangli,Semi-Furnished,177.04
45,937,2,1,1,20,0,Nanded,Furnished,94.63
46,1271,3,2,1,8,0,Aurangabad,Furnished,143.53
47,450,1,1,1,0,1,Mumbai,Furnished,236.15
48,1645,3,3,2,17,1,Nashik,Furnished,174.72
49,1131,2,1,2,28,0,Sangli,Furnished,106.25
50,1235,2,1,1,14,0,Aurangabad,Unfurnished,101.33
51,1502,2,1,3,26,1,Sangli,Unfurnished,100.46
52,998,3,2,3,16,1,Aurangabad,Unfurnished,136.0
53,698,1,1,1,3,2,Beed,Unfurnished,60.04
54,1865,3,2,1,2,2,Sangli,Unfurnished,159.76
55,1382,2,1,2,16,0,Beed,Semi-Furnished,109.03
56,1646,3,2,2,14,1,Nashik,Unfurnished,171.84
57,613,1,1,1,24,0,Amravati,Unfurnished,49.63
58,1063,2,1,4,29,0,Latur,Semi-Furnished,92.24
59,1808,3,2,4,3,1,Sangli,Unfurnished,152.15
60,502,1,1,1,23,0,Nanded,Unfurnished,55.4
61,2325,4,4,1,4,2,Pune,Semi-Furnished,275.19
62,1179,2,2,3,4,2,Kolhapur,Semi-Furnished,145.41
63,2047,4,4,2,0,2,Sangli,Furnished,189.14
64,1596,2,2,2,19,2,Nashik,Furnished,166.89
65,1686,3,2,1,1,2,Mumbai,Furnished,291.39
66,809,1,1,3,26,2,Ahmednagar,Unfurnished,98.57
67,719,1,1,1,10,0,Amravati,Semi-Furnished,77.91
68,1576,3,2,1,18,3,Nagpur,Unfurnished,169.51
